Fed,YYYY,SunOfRatings
AHO,1991,15590
ALB,1991,32035
ALG,1991,24550
AND,1991,13435
ANG,1991,17870
ARG,1991,622195
ARM,1991,54400
AUS,1991,154665
AUT,1991,405480
AZE,1991,27560
BAN,1991,28840
BAR,1991,17655
BEL,1991,151480
BER,1991,11035
BIH,1991,111130
BLR,1991,63310
BOL,1991,26290
BOT,1991,13060
BRA,1991,155725
BRN,1991,11100
BRU,1991,2205
BUL,1991,593635
CAN,1991,223620
CHI,1991,132570
CHN,1991,114745
COL,1991,134650
CRC,1991,45335
CRO,1991,459650
CUB,1991,350745
CYP,1991,15590
CZE,1991,585060
DEN,1991,352690
DOM,1991,35950
ECU,1991,44965
EGY,1991,43775
ENG,1991,654860
ESA,1991,11475
ESP,1991,456700
EST,1991,39595
FAI,1991,9110
FIJ,1991,4435
FIN,1991,181765
FRA,1991,511300
FRM,1991,99905
GCI,1991,11240
GEO,1991,117225
GER,1991,2602725
GHA,1991,6615
GRE,1991,236725
GUA,1991,28690
GUY,1991,2210
HAI,1991,4425
HKG,1991,33760
HON,1991,24540
HUN,1991,1148930
INA,1991,95090
IND,1991,244555
IRI,1991,11265
IRL,1991,91910
IRQ,1991,32900
ISL,1991,174530
ISR,1991,394710
ISV,1991,11180
ITA,1991,371255
IVB,1991,2220
JAM,1991,12955
JOR,1991,6685
JPN,1991,28710
KAZ,1991,34800
KEN,1991,8830
KGZ,1991,16355
KUW,1991,4450
LAT,1991,34210
LBA,1991,15435
LIB,1991,17560
LIE,1991,4410
LTU,1991,20810
LUX,1991,33915
MAR,1991,13675
MAS,1991,44220
MDA,1991,23225
MEX,1991,214740
MGL,1991,53095
MLI,1991,8820
MLT,1991,19855
MNC,1991,17875
MRI,1991,4410
NCA,1991,20425
NED,1991,441880
NGR,1991,12835
NOR,1991,209015
NZL,1991,73910
PAK,1991,54170
PAN,1991,17835
PAR,1991,20475
PER,1991,34790
PHI,1991,130965
PLE,1991,6655
POL,1991,1139075
POR,1991,83900
PUR,1991,37420
QAT,1991,8985
ROM,1991,524120
RSA,1991,4600
RUS,1991,1635930
SCO,1991,96755
SEN,1991,8830
SIN,1991,74775
SLO,1991,207665
SMR,1991,4410
SRI,1991,31515
SUD,1991,6615
SUI,1991,265635
SUR,1991,13245
SVK,1991,146695
SWE,1991,417495
SYR,1991,30905
THA,1991,22530
TJK,1991,9165
TKM,1991,4770
TRI,1991,13010
TUN,1991,29620
TUR,1991,61105
UAE,1991,29160
UGA,1991,13535
UKR,1991,459460
URU,1991,40355
USA,1991,1151955
UZB,1991,64700
VEN,1991,48260
VIE,1991,19985
WLS,1991,53135
YEM,1991,22050
YUG,1991,1764635
ZAM,1991,10825
ZIM,1991,26095
ALB,1983,16295
ALG,1983,8820
AND,1983,6615
ANG,1983,6625
ARG,1983,226545
AUS,1983,53105
AUT,1983,129175
BAN,1983,20115
BEL,1983,42355
BER,1983,4435
BOL,1983,2225
BOT,1983,2205
BRA,1983,71945
BRN,1983,4410
BUL,1983,263630
CAN,1983,133280
CHI,1983,54910
CHN,1983,34350
COL,1983,91705
CRC,1983,18020
CSR,1983,241560
CUB,1983,164720
CYP,1983,6710
DDR,1983,142665
DEN,1983,130790
DOM,1983,18300
ECU,1983,20275
EGY,1983,14995
ENG,1983,324055
ESA,1983,6900
ESP,1983,154890
FAI,1983,8820
FIN,1983,82990
FRA,1983,123435
FRG,1983,644255
GCI,1983,2205
GRE,1983,177005
GUA,1983,24755
GUY,1983,4435
HKG,1983,24845
HUN,1983,426305
INA,1983,54350
IND,1983,81340
IRI,1983,11575
IRL,1983,43705
IRQ,1983,6755
ISL,1983,102025
ISR,1983,187820
ISV,1983,4415
ITA,1983,98795
IVB,1983,4435
JAM,1983,4410
JOR,1983,4410
JPN,1983,21470
KEN,1983,4425
LIB,1983,13480
LUX,1983,17845
MAS,1983,15750
MEX,1983,181920
MGL,1983,19475
MLT,1983,13235
MNC,1983,4410
NCA,1983,29230
NED,1983,201775
NGR,1983,4410
NOR,1983,122055
NZL,1983,36985
PAK,1983,20235
PAN,1983,2235
PAR,1983,13730
PER,1983,13805
PHI,1983,69840
PNG,1983,6615
POL,1983,526260
POR,1983,38820
PUR,1983,13290
ROM,1983,243430
SCO,1983,48330
SEN,1983,4410
SIN,1983,31360
SRI,1983,18080
SUI,1983,95065
SUR,1983,4410
SWE,1983,129290
SYR,1983,13655
THA,1983,20395
TRI,1983,10835
TUN,1983,13615
TUR,1983,48685
UAE,1983,11215
UGA,1983,4410
UNK,1983,2295
URU,1983,9045
USA,1983,562130
USR,1983,990040
VEN,1983,26235
WLS,1983,24000
YUG,1983,1173020
ZAI,1983,4410
ZAM,1983,2205
ZIM,1983,6615
ALB,1972,9030
AND,1972,2270
ARG,1972,52805
AUS,1972,11730
AUT,1972,28010
BEL,1972,13895
BRA,1972,16110
BRD,1972,54775
BUL,1972,83770
CAN,1972,39715
CHI,1972,11545
COL,1972,13975
CRC,1972,2295
CSR,1972,77330
CUB,1972,30490
DDR,1972,56500
DEN,1972,40040
ECU,1972,4690
ENG,1972,50860
ESP,1972,30290
FIN,1972,11770
FRA,1972,11550
GRE,1972,11520
HKG,1972,2270
HUN,1972,117985
INA,1972,9370
IND,1972,4620
IRI,1972,9120
IRL,1972,6860
ISL,1972,28370
ISR,1972,21445
ITA,1972,16420
JPN,1972,2280
LUX,1972,2255
MAR,1972,2220
MEX,1972,4520
MLT,1972,2250
MON,1972,13740
NED,1972,74305
NOR,1972,23425
NZL,1972,9305
PAR,1972,2250
PER,1972,7010
PHI,1972,18840
POL,1972,51795
POR,1972,13695
PUR,1972,6930
ROM,1972,75645
SAF,1972,4520
SCO,1972,13770
SIN,1972,4650
SUI,1972,32775
SWE,1972,39675
TUN,1972,4690
TUR,1972,9135
URS,1972,261110
URU,1972,4590
USA,1972,63105
VEN,1972,4475
WLS,1972,2390
YUG,1972,219365
ALB,1981,13750
AND,1981,2220
ARG,1981,168405
AUS,1981,39255
AUT,1981,74735
BAN,1981,4475
BEL,1981,25190
BOL,1981,6640
BRA,1981,64890
BUL,1981,261625
CAN,1981,98490
CHI,1981,64055
CHN,1981,31310
COL,1981,78530
CRC,1981,17910
CSR,1981,243555
CUB,1981,156315
DDR,1981,168064
DEN,1981,150595
DOM,1981,20345
ECU,1981,38490
EGY,1981,4460
ENG,1981,305895
ESA,1981,6755
ESP,1981,118990
FIN,1981,76420
FRA,1981,71325
FRG,1981,378875
GCI,1981,2270
GRE,1981,91535
GUA,1981,15800
GUY,1981,4455
HKG,1981,4640
HON,1981,4470
HUN,1981,353980
INA,1981,38960
IND,1981,42680
IRI,1981,14050
IRL,1981,43410
IRQ,1981,6755
ISL,1981,96255
ISR,1981,139417
ITA,1981,101515
IVB,1981,2275
JPN,1981,12295
LIB,1981,6855
LUX,1981,17810
MAS,1981,4445
MEX,1981,112700
MGL,1981,13720
MLT,1981,8855
MNC,1981,1880
NCA,1981,6795
NED,1981,160345
NOR,1981,118740
NZL,1981,23095
PAK,1981,13470
PAN,1981,6695
PAR,1981,11395
PER,1981,13870
PHI,1981,74750
POL,1981,333425
POR,1981,36335
PUR,1981,8505
ROM,1981,182720
SCO,1981,48355
SIN,1981,27550
SRI,1981,2250
SUI,1981,76570
SWE,1981,163335
SYR,1981,6815
THA,1981,11400
TRI,1981,2215
TUN,1981,4685
TUR,1981,30655
UAE,1981,4445
UNK,1981,6550
URU,1981,22435
USA,1981,461965
USR,1981,967965
VEN,1981,26920
WLS,1981,24135
YUG,1981,806930
AHO,1993,13365
ALB,1993,34430
ALG,1993,42215
AND,1993,13470
ANG,1993,17780
ARG,1993,749305
ARM,1993,82350
AUS,1993,178055
AUT,1993,517020
AZE,1993,46245
BAN,1993,50975
BAR,1993,13445
BEL,1993,164680
BER,1993,13225
BIH,1993,113905
BLR,1993,82460
BOL,1993,26280
BOT,1993,13250
BRA,1993,254550
BRN,1993,15545
BRU,1993,6615
BUL,1993,651610
CAN,1993,272740
CHI,1993,159555
CHN,1993,126485
COL,1993,155390
CRC,1993,60945
CRO,1993,561765
CUB,1993,409665
CYP,1993,20075
CZE,1993,756085
DEN,1993,398145
DOM,1993,35925
ECU,1993,44830
EGY,1993,57520
ENG,1993,792170
ESA,1993,15885
ESP,1993,642065
EST,1993,83625
FAI,1993,17890
FIJ,1993,8845
FIN,1993,213850
FRA,1993,759700
FRM,1993,104355
GCI,1993,11145
GEO,1993,150090
GER,1993,3435285
GHA,1993,6615
GRE,1993,306425
GUA,1993,28720
GUY,1993,2215
HAI,1993,4425
HKG,1993,27355
HON,1993,24540
HUN,1993,1567200
INA,1993,104030
IND,1993,385205
IRI,1993,18075
IRL,1993,111650
IRQ,1993,58425
ISL,1993,196795
ISR,1993,445805
ISV,1993,13385
ITA,1993,480145
IVB,1993,6630
JAM,1993,15125
JCI,1993,2075
JOR,1993,11090
JPN,1993,33250
KAZ,1993,46525
KEN,1993,6620
KGZ,1993,16435
KUW,1993,6725
LAT,1993,104330
LBA,1993,17680
LIB,1993,24230
LIE,1993,11410
LTU,1993,94955
LUX,1993,31555
MAR,1993,18275
MAS,1993,52880
MDA,1993,43785
MEX,1993,259845
MGL,1993,72850
MLI,1993,13220
MLT,1993,24265
MNC,1993,22305
MRI,1993,4410
MYA,1993,13515
NCA,1993,27040
NED,1993,521395
NGR,1993,19435
NOR,1993,236230
NZL,1993,71785
PAK,1993,60985
PAN,1993,20100
PAR,1993,33675
PER,1993,41875
PHI,1993,163620
PLE,1993,11055
POL,1993,1320530
POR,1993,119385
PUR,1993,39630
QAT,1993,15835
ROM,1993,710465
RSA,1993,18465
RUS,1993,2064160
SCO,1993,116525
SEN,1993,6625
SIN,1993,83205
SLO,1993,263540
SMR,1993,4420
SRI,1993,42270
SUD,1993,6620
SUI,1993,325940
SUR,1993,13245
SVK,1993,209190
SWE,1993,525705
SYR,1993,37825
THA,1993,24720
TJK,1993,13895
TKM,1993,13855
TRI,1993,13000
TUN,1993,32050
TUR,1993,99185
UAE,1993,35500
UGA,1993,18150
UKR,1993,362340
URU,1993,55950
USA,1993,1367935
UZB,1993,71940
VEN,1993,50865
VIE,1993,30975
WLS,1993,63370
YEM,1993,26600
YUG,1993,2104590
ZAM,1993,10825
ZIM,1993,34850
ARG,1976,126420
AUS,1976,11935
AUT,1976,29250
BEL,1976,20850
BRA,1976,38580
BUL,1976,165565
CAN,1976,48860
CHI,1976,41795
CHN,1976,4500
COL,1976,41190
CSR,1976,138860
CUB,1976,88515
DDR,1976,121240
DEN,1976,76915
DOM,1976,6745
ECU,1976,13590
ENG,1976,125765
ESP,1976,64920
FAI,1976,2205
FIN,1976,24945
FRA,1976,27310
FRG,1976,121285
GRE,1976,22775
HKG,1976,2350
HUN,1976,187740
INA,1976,20625
IND,1976,9055
IRI,1976,9335
IRL,1976,19290
ISL,1976,74705
ISR,1976,62155
ITA,1976,59710
IVB,1976,2210
JPN,1976,6035
LIB,1976,9040
LUX,1976,11240
MEX,1976,15490
MGL,1976,13730
MLT,1976,2210
MNC,1976,1820
NCA,1976,6830
NED,1976,104735
NOR,1976,46300
NZL,1976,9080
PAK,1976,11295
PAN,1976,2205
PAR,1976,2265
PER,1976,7110
PHI,1976,44205
POL,1976,115325
POR,1976,11490
PUR,1976,8555
ROM,1976,103880
RSA,1976,6875
SCO,1976,22660
SIN,1976,15780
SUI,1976,55405
SWE,1976,100460
SYR,1976,2230
TUN,1976,11395
TUR,1976,13525
UNK,1976,6560
URU,1976,6665
USA,1976,156525
USR,1976,632015
VEN,1976,13580
WLS,1976,13870
YUG,1976,398670
ALB,1989,14060
ALG,1989,15725
AND,1989,4470
ANG,1989,11195
ANT,1989,2205
ARG,1989,420290
AUS,1989,94155
AUT,1989,283595
BAH,1989,2205
BAN,1989,29045
BAR,1989,8945
BEL,1989,121910
BER,1989,6625
BOL,1989,8905
BOT,1989,4535
BRA,1989,125585
BRN,1989,8875
BRU,1989,4410
BUL,1989,455240
CAN,1989,167320
CHI,1989,87215
CHN,1989,67580
COL,1989,77160
CRC,1989,18215
CSR,1989,473490
CUB,1989,280200
CYP,1989,13335
DDR,1989,227710
DEN,1989,204860
DOM,1989,33135
ECU,1989,22875
EGY,1989,32125
ENG,1989,424930
ESA,1989,8890
ESP,1989,277720
FAI,1989,6855
FIN,1989,122155
FRA,1989,293535
FRG,1989,1481305
GAM,1989,4410
GCI,1989,6670
GHA,1989,6615
GRE,1989,182940
GUA,1989,17395
HAI,1989,4415
HKG,1989,26755
HON,1989,13455
HUN,1989,906530
INA,1989,61600
IND,1989,196700
IRL,1989,49145
IRQ,1989,25735
ISL,1989,124205
ISR,1989,238805
ISV,1989,8925
ITA,1989,215045
IVB,1989,8920
JAM,1989,12760
JOR,1989,4435
JPN,1989,17395
KEN,1989,11070
KUW,1989,13345
LBA,1989,8820
LIB,1989,17455
LIE,1989,4410
LUX,1989,22685
MAR,1989,11250
MAS,1989,50530
MAU,1989,2205
MEX,1989,162935
MGL,1989,31425
MLI,1989,8820
MLT,1989,15670
MNC,1989,13230
MRI,1989,4410
NCA,1989,20405
NED,1989,296475
NGR,1989,10830
NLA,1989,4410
NOR,1989,130605
NZL,1989,42780
PAK,1989,43190
PAN,1989,17805
PAR,1989,13945
PER,1989,11970
PHI,1989,84685
PLE,1989,11080
PNG,1989,8820
POL,1989,930970
POR,1989,61080
PUR,1989,22060
QAT,1989,8980
ROM,1989,416995
SCO,1989,61060
SEN,1989,6625
SIN,1989,61560
SMR,1989,4425
SRI,1989,24980
SUD,1989,4430
SUI,1989,176040
SUR,1989,13245
SWE,1989,270475
SYR,1989,22265
THA,1989,18130
TRI,1989,6230
TUN,1989,13915
TUR,1989,40650
UAE,1989,22070
UGA,1989,4480
UNK,1989,33830
URU,1989,39920
USA,1989,817565
USR,1989,1250120
VEN,1989,31185
WLS,1989,31285
YEM,1989,8890
YUG,1989,2178685
ZAM,1989,8850
ZIM,1989,11055
AFG,1997,2020
AHO,1997,26250
ALB,1997,39010
ALG,1997,83660
AND,1997,17825
ANG,1997,24185
ARG,1997,1242840
ARM,1997,192665
AUS,1997,238880
AUT,1997,1067140
AZE,1997,150820
BAN,1997,112435
BAR,1997,17855
BEL,1997,273400
BER,1997,17420
BIH,1997,147245
BLR,1997,245010
BOL,1997,30580
BOT,1997,19555
BRA,1997,447555
BRN,1997,21760
BRU,1997,6590
BUL,1997,794915
CAN,1997,389040
CHI,1997,573185
CHN,1997,214260
COL,1997,191945
CRC,1997,78250
CRO,1997,831030
CUB,1997,599445
CYP,1997,28520
CZE,1997,1359545
DEN,1997,737445
DOM,1997,49275
ECU,1997,69105
EGY,1997,105990
ENG,1997,1303260
ESA,1997,22435
ESP,1997,1819000
EST,1997,162600
FAI,1997,43325
FIJ,1997,4425
FIN,1997,372235
FRA,1997,1924360
FRM,1997,251090
GCI,1997,8900
GEO,1997,236285
GER,1997,6084395
GHA,1997,4410
GRE,1997,604480
GUA,1997,52265
GUY,1997,2215
HAI,1997,2155
HKG,1997,40025
HON,1997,24495
HUN,1997,2448800
INA,1997,199745
IND,1997,765940
IRI,1997,121115
IRL,1997,144285
IRQ,1997,173485
ISL,1997,238235
ISR,1997,753285
ISV,1997,13370
ITA,1997,988710
IVB,1997,6580
JAM,1997,15085
JCI,1997,10900
JOR,1997,53555
JPN,1997,26475
KAZ,1997,169255
KEN,1997,6555
KGZ,1997,25905
KUW,1997,6725
LAT,1997,195790
LBA,1997,17655
LIB,1997,35240
LIE,1997,13325
LTU,1997,276055
LUX,1997,40470
MAC,1997,15205
MAR,1997,29570
MAS,1997,101685
MDA,1997,148130
MEX,1997,417970
MGL,1997,93820
MLI,1997,13220
MLT,1997,35150
MNC,1997,28815
MOZ,1997,2210
MRI,1997,6540
MYA,1997,15820
NAM,1997,2240
NCA,1997,58560
NED,1997,842835
NGR,1997,42605
NOR,1997,360660
NZL,1997,119190
PAK,1997,60840
PAN,1997,19930
PAR,1997,53050
PER,1997,137315
PHI,1997,187705
PLE,1997,13245
POL,1997,2425530
POR,1997,161385
PUR,1997,52330
QAT,1997,24255
ROM,1997,1207245
RSA,1997,29500
RUS,1997,3959850
SCO,1997,208775
SEN,1997,6625
SEY,1997,10575
SIN,1997,111400
SLO,1997,435735
SMR,1997,6445
SRI,1997,48455
SUD,1997,17460
SUI,1997,574670
SUR,1997,13245
SVK,1997,464705
SWE,1997,823210
SYR,1997,53705
THA,1997,35595
TJK,1997,20870
TKM,1997,54780
TRI,1997,13000
TUN,1997,29700
TUR,1997,183930
UAE,1997,89865
UGA,1997,17955
UKR,1997,1020170
URU,1997,84035
USA,1997,1936945
UZB,1997,113045
VEN,1997,70660
VIE,1997,53785
WLS,1997,122700
YEM,1997,31215
YUG,1997,3082765
ZAM,1997,15415
ZIM,1997,37230
ALB,1985,14015
ALG,1985,15435
AND,1985,11150
ANG,1985,6615
ARG,1985,288155
AUS,1985,74235
AUT,1985,171785
BAN,1985,24605
BEL,1985,64415
BER,1985,4425
BOT,1985,2205
BRA,1985,96555
BRN,1985,2205
BUL,1985,284580
CAN,1985,135150
CHI,1985,66470
CHN,1985,47840
COL,1985,74765
CRC,1985,13570
CSR,1985,278065
CUB,1985,198885
CYP,1985,11060
DDR,1985,140185
DEN,1985,137050
DOM,1985,19830
ECU,1985,17775
EGY,1985,17780
ENG,1985,316785
ESA,1985,6895
ESP,1985,148705
FAI,1985,4410
FIN,1985,79440
FRA,1985,165895
FRG,1985,712865
GCI,1985,4405
GRE,1985,198335
GUA,1985,24430
GUY,1985,2210
HKG,1985,24800
HUN,1985,491270
INA,1985,62710
IND,1985,124640
IRI,1985,2400
IRL,1985,26465
IRQ,1985,8225
ISL,1985,105265
ISR,1985,207495
ISV,1985,4490
ITA,1985,109010
IVB,1985,4450
JAM,1985,6615
JOR,1985,6610
JPN,1985,21345
KEN,1985,6655
KUW,1985,8815
LIB,1985,20235
LUX,1985,22135
MAR,1985,4475
MAS,1985,39735
MEX,1985,168460
MGL,1985,20090
MLT,1985,6785
MNC,1985,11030
NCA,1985,17970
NED,1985,230910
NGR,1985,8815
NOR,1985,120230
NZL,1985,37810
PAK,1985,34210
PAN,1985,2285
PAP,1985,2205
PAR,1985,11465
PER,1985,9350
PHI,1985,61685
PNG,1985,11020
POL,1985,606720
POR,1985,49505
PUR,1985,11215
ROM,1985,248720
SCO,1985,63475
SEN,1985,4410
SIN,1985,27120
SMR,1985,2205
SRI,1985,20290
SUI,1985,126430
SUR,1985,11025
SWE,1985,163080
SYR,1985,15975
THA,1985,20220
TRI,1985,13000
TUN,1985,20650
TUR,1985,55650
UAE,1985,11265
UGA,1985,4410
UNK,1985,2295
URU,1985,13570
USA,1985,690820
USR,1985,897560
VEN,1985,20180
WLS,1985,28110
YEM,1985,2205
YUG,1985,1381240
ZAI,1985,4410
ZAM,1985,2205
ZIM,1985,8820
ALB,1987,14025
ALG,1987,13300
AND,1987,6670
ANG,1987,8820
ANT,1987,2205
ARG,1987,298650
AUS,1987,74390
AUT,1987,194690
BAH,1987,2205
BAN,1987,29440
BAR,1987,8910
BEL,1987,99585
BER,1987,8830
BOL,1987,8955
BOT,1987,4410
BRA,1987,105145
BRN,1987,8820
BRU,1987,4410
BUL,1987,350080
CAN,1987,133260
CHI,1987,66825
CHN,1987,37260
COL,1987,66080
CRC,1987,13430
CSR,1987,307975
CUB,1987,214380
CYP,1987,13280
DDR,1987,150615
DEN,1987,147780
DOM,1987,26425
ECU,1987,22915
EGY,1987,22800
ENG,1987,327745
ESA,1987,8920
ESP,1987,182640
FAI,1987,4670
FIJ,1987,2205
FIN,1987,93005
FRA,1987,220415
FRG,1987,949330
GAM,1987,4410
GCI,1987,6695
GHA,1987,6615
